time             87600000 | observedSignal: fe3780 | desiredSignal: 007265 | filterOut_out1: 7fffbc477 | filterError_signal1: 001dc0d1 | filterWeights_oldCoeff: 000bca05 | stepSize: 00009
time             88300000 | observedSignal: 0162a7 | desiredSignal: 017426 | filterOut_out1: 7ff78afd4 | filterError_signal1: 000c082b | filterWeights_oldCoeff: 000c1610 | stepSize: 00009
time             89000000 | observedSignal: ff39ba | desiredSignal: ff0e76 | filterOut_out1: 0006acca3 | filterError_signal1: 0004f466 | filterWeights_oldCoeff: 000be5cd | stepSize: 00009
time             89700000 | observedSignal: ff9198 | desiredSignal: fe107c | filterOut_out1: 7ffbbfb37 | filterError_signal1: 7ffcb3fd | filterWeights_oldCoeff: 000bf536 | stepSize: 00009
time             90400000 | observedSignal: 002339 | desiredSignal: fda35d | filterOut_out1: 7fff03c1b | filterError_signal1: 7ff1801f | filterWeights_oldCoeff: 000bfaf8 | stepSize: 00009
time             91100000 | observedSignal: 016832 | desiredSignal: feef51 | filterOut_out1: 00019f728 | filterError_signal1: 7feb7b76 | filterWeights_oldCoeff: 000c090a | stepSize: 00008
time             91800000 | observedSignal: fe3349 | desiredSignal: fc5919 | filterOut_out1: 0005ef199 | filterError_signal1: 7ff18b6f | filterWeights_oldCoeff: 000c02af | stepSize: 00008
time             92500000 | observedSignal: 008ab3 | desiredSignal: fe9930 | filterOut_out1: 7ff9fef0e | filterError_signal1: 7fe8c9d8 | filterWeights_oldCoeff: 000bd9f7 | stepSize: 00009
time             93200000 | observedSignal: ff2b24 | desiredSignal: fec8cc | filterOut_out1: 0003cd655 | filterError_signal1: 7ff0fc1b | filterWeights_oldCoeff: 000c2d89 | stepSize: 0000a
time             93900000 | observedSignal: ff10a4 | desiredSignal: ffbbd2 | filterOut_out1: 7ffcca0ff | filterError_signal1: 7ff97c51 | filterWeights_oldCoeff: 000c1b37 | stepSize: 0000a
time             94600000 | observedSignal: 01c603 | desiredSignal: 031650 | filterOut_out1: 7fff3d206 | filterError_signal1: 7ffea170 | filterWeights_oldCoeff: 000c28c7 | stepSize: 0000b
time             95300000 | observedSignal: fe49e7 | desiredSignal: 0111a5 | filterOut_out1: 000559d99 | filterError_signal1: 001358a7 | filterWeights_oldCoeff: 000c2bfd | stepSize: 0000a
time             96000000 | observedSignal: ff84d2 | desiredSignal: 018353 | filterOut_out1: 7ff7cfe08 | filterError_signal1: 0010bd48 | filterWeights_oldCoeff: 000c8a50 | stepSize: 00010
time             96700000 | observedSignal: 000f62 | desiredSignal: 01b11f | filterOut_out1: 7fffcf150 | filterError_signal1: 000c4b83 | filterWeights_oldCoeff: 000c42b4 | stepSize: 00011
time             97400000 | observedSignal: 009e8f | desiredSignal: 01c97f | filterOut_out1: 000056d61 | filterError_signal1: 000d3222 | filterWeights_oldCoeff: 000c2b0c | stepSize: 00012
time             98100000 | observedSignal: ffce0a | desiredSignal: ffde9e | filterOut_out1: 7fffd6d5e | filterError_signal1: 000e7523 | filterWeights_oldCoeff: 000c2e6a | stepSize: 00015
time             98800000 | observedSignal: 015b5e | desiredSignal: 001652 | filterOut_out1: 7fff988d7 | filterError_signal1: 7fff5c63 | filterWeights_oldCoeff: 000c56b1 | stepSize: 00016
time             99500000 | observedSignal: ffb726 | desiredSignal: fe06c7 | filterOut_out1: 000415cf1 | filterError_signal1: 7ffc9cc1 | filterWeights_oldCoeff: 000c5759 | stepSize: 00016
time            100200000 | observedSignal: fe8a57 | desiredSignal: fc26ae | filterOut_out1: 7ffe67dae | filterError_signal1: 7ff1ce5e | filterWeights_oldCoeff: 000c3e08 | stepSize: 00014
time            100900000 | observedSignal: 0195f2 | desiredSignal: fec7f9 | filterOut_out1: 7ffb5cf5b | filterError_signal1: 7fe5d87b | filterWeights_oldCoeff: 000c5441 | stepSize: 00011
time            101600000 | observedSignal: fda6cd | desiredSignal: fc5a89 | filterOut_out1: 0008604be | filterError_signal1: 7feddf7d | filterWeights_oldCoeff: 000d1324 | stepSize: 0000f
time            102300000 | observedSignal: 03c19e | desiredSignal: 026cd4 | filterOut_out1: 7ff802821 | filterError_signal1: 7fead1c6 | filterWeights_oldCoeff: 000c98f0 | stepSize: 0000a
